"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.11.2018","3.234,00","3.237,95","3.251,00","3.227,00","","-0,15%"
"29.11.2018","3.238,95","3.268,50","3.270,53","3.230,55","","-0,98%"
"28.11.2018","3.271,00","3.266,90","3.296,39","3.258,50","","0,23%"
"27.11.2018","3.263,40","3.244,00","3.266,01","3.229,10","","0,57%"
"26.11.2018","3.244,75","3.228,00","3.248,73","3.221,60","","0,52%"
"23.11.2018","3.228,00","3.189,50","3.238,60","3.189,50","","1,16%"
"22.11.2018","3.191,00","3.194,03","3.196,16","3.191,00","","-0,06%"
"21.11.2018","3.192,91","3.198,72","3.204,72","3.189,45","","-0,15%"
"20.11.2018","3.197,60","3.175,20","3.200,00","3.174,50","","0,68%"
"19.11.2018","3.175,95","3.168,35","3.184,99","3.166,89","","0,24%"
"16.11.2018","3.168,35","3.190,00","3.192,50","3.164,39","","-0,68%"
"15.11.2018","3.190,00","3.204,20","3.210,35","3.185,00","","-0,44%"
"14.11.2018","3.204,20","3.188,31","3.205,20","3.184,15","","0,50%"
"13.11.2018","3.188,31","3.176,50","3.206,25","3.176,35","","0,32%"
"12.11.2018","3.178,00","3.182,25","3.182,75","3.175,00","","-0,06%"
"09.11.2018","3.180,00","3.152,58","3.185,30","3.150,30","","0,86%"
"08.11.2018","3.152,95","3.129,01","3.160,01","3.127,88","","0,77%"
"07.11.2018","3.129,01","3.148,51","3.150,28","3.127,53","","-0,59%"
"06.11.2018","3.147,50","3.181,63","3.185,77","3.144,90","","-1,08%"
"05.11.2018","3.182,00","3.187,13","3.187,50","3.181,75","","-0,13%"
"02.11.2018","3.186,26","3.193,47","3.196,72","3.167,05","","-0,25%"
"01.11.2018","3.194,10","3.218,88","3.221,76","3.182,05","","-0,79%"
